,alamat_jalan,batas_barat,batas_selatan,batas_timur,batas_utara,bujur,cagar_budaya_id,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,lintang,nama,nomor_penetapan,pemilik,pengelola,propinsi,tanggal_penetapan
995,-,Tebing,Tebing,Tebing / Jalan Raya,Tebing / Jalan Raya,127.3830010,9E9C9701-B492-47E6-8D45-B1CC117DF07E,-,Kota Ternate,Kec. Pulau Ternate,KB000667,.8105420,Benteng Tehoela,PM.20/PW/007/MKP/2007,Pemerintahan Provinsi Maluku Utara,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
996,-,Rumah Penduduk,Rumah Penduduk,Jalan Raya dan Selat Ternate,Rumah Penduduk,127.3880560,DA085356-A0EB-49C1-B791-9C51E5E048A2,-,Kota Ternate,Kec. Ternate Utara,KB000616,.8138890,Benteng Tolocco (Santa Lucia),PM.20/PW/007/MKP/2007,Pemerintahan Provinsi Maluku Utara,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
997,-,,,,,127.3881430,2C5C655A-FBFD-480E-A1D2-8C4A2C6EE5DA,Dufa-dufa,Kota Ternate,Kec. Pulau Ternate,KB000630,.8138940,Benteng Tolucco of Hollandia,-,,,Prop. Maluku Utara,
998,-,Laut dan Tebing,Laut,Jalan Desa Rum dan Tebing,Laut dan Tebing,127.3777000,10FBFA3A-B8D9-46D5-AD8C-BF1F2FF6EE12,Tidore,Kota Ternate,Kec. Ternate Utara,KB000665,.8265420,Benteng Tsjobbe,PM.20/PW/007/MKP/2007,Pemerintahan Provinsi Maluku Utara,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
999,-,,,,,127.3689090,D691BFB2-5341-4CF8-B974-ED6F26CA5A3A,-,Kota Ternate,Kec. Pulau Ternate,KB000634,.8296740,Blok Huis Kota Baru,-,,,Prop. Maluku Utara,
1000,-,,,,,127.4257960,EF60B27B-919A-447E-B2AE-D98F782CB848,Tabilalo,Kab. Halmahera Selatan,Kec. Pulau Makian,KB000633,.3553240,Blok Huis Tabilalo,-,,,Prop. Maluku Utara,
1001,-,,,,,127.6369840,5DE45BC9-DF8E-40EA-A966-EA1ED83C3A0D,Loji,Kab. Halmahera Selatan,Kec. Obi,KB000641,-1.3622430,Blokbuis Den Briel,-,,,Prop. Maluku Utara,
1002,-,,,,,127.3864050,C65C5E8C-E60D-402B-9736-EE32D3514606,Kastela,Kota Ternate,Kec. Pulau Ternate,KB000624,.7887220,De La Sario,-,,,Prop. Maluku Utara,
1003,-,Jalan Sultan Saifudin,Laut dan Rumah Penduduk,Selat Tidore,Laut dan Rumah Penduduk,127.4453650,D42A16D2-0B8C-4A6C-A839-68A64B8F151E,-,Kota Tidore Kepulauan,Kec. Tidore,KB000620,.6505990,Dermaga Sultan Tidore,PM.20/PW/007/MKP/2007,Keluarga Sultan Tidore,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
1004,-,Jalan Pahlawan Revolusi,Selat Ternate,Selat Ternate,Selat Ternate,127.3886470,1BD8C995-5F2B-4B3A-863F-EEE235E385F3,-,Kota Ternate,Kec. Ternate Tengah,KB000621,.7833310,Jembatan Residen,PM.20/PW/007/MKP/2007,Pemerintahan Provinsi Maluku Utara,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
1005,-,Rumah Penduduk,Jalan Kampung,Rumah Penduduk,Rumah Penduduk,127.3801850,E81FF8B7-1344-44C1-A017-85804F38B073,Gamalama,Kota Ternate,Kec. Ternate Tengah,KB001655,.7926020,Kalero (Pembakaran Kapur),PM.20/PW/007/MKP/2007,Pemerintahan Provinsi Maluku Utara,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
1006,-,,,,,127.4890600,4DCF763F-7D3D-46EA-AED0-3B816B7B617B,-,Kab. Halmahera Barat,Kec. Jailolo,KB000638,1.3771260,Kastel Jailolo,-,,,Prop. Maluku Utara,
1007,-,-,-,-,-,127.3729160,93B678CB-1040-49CD-8E24-009130C6DD9E,-,Kota Ternate,Kec. Pulau Ternate,KB000646,.7731090,Kastel Oranje,-,-,-,Prop. Maluku Utara,1900-01-01 00:00:00.000
1008,-,,,,,127.4844120,D3516C28-1A15-4177-9D45-09ADF154BC66,-,Kab. Halmahera Selatan,Kec. Bacan,KB000640,-.6565870,Kedaton Bacan,-,,,Prop. Maluku Utara,
1009,-,Rumah Penduduk,Jalan Sultan Hairun,Jalan Sultan Babullah,Rumah Penduduk,127.3843030,2C4E6794-A970-4C1F-BFA0-14C3415F4A17,-,Kota Ternate,Kec. Ternate Utara,KB000618,.8003670,Kedaton Sultan Ternate,PM.20/PW/007/MKP/2007,Keluarga Sultan Ternate,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
1010,-,,,,,127.3843030,C4CEE2AF-191C-4EED-BF9B-AC50E989D94E,-,Kota Ternate,Kec. Pulau Ternate,KB000629,.8003670,Kedaton Sultan Ternate,-,,,Prop. Maluku Utara,
1011,-,"Bukit, Gunung, dan Perkampungan",Tanjung Soa Sio,"Jalan Raya Soa Sio, Perumahan Penduduk",Rumah Penduduk dan Makam Keluarga Sultan,127.4427290,F852D282-AB27-42FC-8844-2D5A027C889E,-,Kota Tidore Kepulauan,Kec. Tidore,KB000619,.6516700,Kedaton Sultan Tidore,PM.20/PW/007/MKP/2007,Keluarga Sultan Tidore,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
1012,-,Kedaton Sultan Tidore,Rumah Penduduk,Laut,Bukit,127.3811760,ACC8D782-8B4E-48A2-B824-834056EF361B,Soasio,Kota Tidore Kepulauan,Kec. Tidore,KB001653,.7970230,Kompleks Makam Sultan Muhammad Tahir,PM.20/PW/007/MKP/2007,Keluarga Sultan Tidore,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
1013,-,,,,,127.3363360,E8E4D7E3-470C-482D-B6A6-D2A1C796BBD8,-,Kota Ternate,Kec. Pulau Ternate,KB000666,.7560560,Kompleks Makam Sultan Tidore,-,,,Prop. Maluku Utara,
1014,-,,,,,127.3781730,2A3D05E1-B625-4B08-A329-B69CCA49071E,-,Kota Ternate,Kec. Ternate Tengah,KB000656,.7719940,Kubu Pertahanan Dongel Gamalama,-,,,Prop. Maluku Utara,
1015,-,,,,,127.3820170,D3BF5C4A-ABB4-478E-B8B1-687D9308D555,-,Kota Ternate,Kec. Ternate Tengah,KB000644,.7887110,Kubu Pertahanan Dongiel,-,,,Prop. Maluku Utara,
1016,-,,,,,127.3641920,7D81D7BA-DB2D-40BA-811B-3300464DB2B7,-,Kota Ternate,Kec. Pulau Ternate,KB000645,.7606590,Kubu Pertahanan Koning Zee Hoofd,-,,,Prop. Maluku Utara,
1017,-,,,,,127.3838570,FD37A1C6-E85A-48E4-8F9A-24EDF703DA14,-,Kota Ternate,Kec. Ternate Tengah,KB000657,.7839800,Kubu Pertahanan Koning Zee Hoofd,-,,,Prop. Maluku Utara,
1018,-,,,,,127.3777330,2944B480-2764-4961-9275-BEA71A545BE3,Merick,Kota Ternate,Kec. Pulau Ternate,KB000670,.7900790,Kubu Pertahanan Marie Co,-,,,Prop. Maluku Utara,
