,alamat_jalan,batas_barat,batas_selatan,batas_timur,batas_utara,bujur,cagar_budaya_id,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,lintang,nama,nomor_penetapan,pemilik,pengelola,propinsi,tanggal_penetapan
145,Jalan Kantor No. 2,Bank Mandiri,Jalan kantor,Gudang,Lembaga Pemasyarakatan Cirebon,108.5726940,851EBE6E-7BA5-4851-B867-3B613DBFF52B,Kamiran,Kota Cirebon,Kec. Lemahwungkuk,KB000315,-6.7168970,Kelenteng Dewi Welas Asih,PM.58/PW.007/MKP/2010,Yayasan Buddha Metta,Yayasan Buddha Metta,Prop. Jawa Barat,2010-06-22 00:00:00.000
146,Jalan Winaon,Permukiman penduduk,Permukiman penduduk,Pertokoan dan pasar kanoman,Jl. Kebon puring dan Jl. Kanoman,108.5766670,5A28A754-12DF-480D-B976-4AC508FD3421,Lemahwungkuk,Kota Cirebon,Kec. Lemahwungkuk,KB000319,-6.7063890,Kelenteng Pemancar Keselamatan,PM.58/PW.007/MKP/2010,Yayasan Kong Ju Kwan,-,Prop. Jawa Barat,2010-06-22 00:00:00.000
147,Jalan Talang No.2,Gedung rumah duka,Gudang,Jl. Talang,Gedung rumah duka,108.5693970,7B8F526E-F46D-4B48-B956-1B1B6FE1E290,Lemahwungkuk,Kota Cirebon,Kec. Lemahwungkuk,KB000316,-6.7198190,Kelenteng Talang (Soeh Boen Pang Gie Soe),PM.58/PW.007/MKP/2010,Yayasan Makin Cirebon,Yayasan Makin Cirebon,Prop. Jawa Barat,2010-06-22 00:00:00.000
148,-,Jl. Jagasatru,Permukiman,Gg. Pulasaren,Jl. Pulasaren,108.5652780,B6F142EA-DAC1-4146-93AE-DFE3565F2674,Jagasatru,Kota Cirebon,Kec. Pekalipan,KB000249,-6.7252780,Keraton Kacirebonan,238/M/1999,Sultan Kacirebonan,-,Prop. Jawa Barat,1999-10-04 00:00:00.000
149,-,Sekolah Taman Siswa,Jl. Pulasaren,Jl. Lemah Wungkuk,Pasar Kanoman,108.5677780,10907225-65BC-4EA2-9EA3-1DE65623B324,Lemah Wungkuk,Kota Cirebon,Kec. Lemahwungkuk,KB000248,-6.7225000,Keraton Kanoman ,238/M/1999,Sultan Kanoman,-,Prop. Jawa Barat,1999-10-04 00:00:00.000
150,-,Jl. Pegajahan,Kali Krian/Kali Kasunean,Jl. Grobogan,Alun-alun,108.5719440,ED34B8AB-3D53-4E6E-A632-79B78F99C549,Kasepuhan,Kota Cirebon,Kec. Lemahwungkuk,KB000247,-6.7275000,Keraton Kasepuhan,238/M/1999,Sultan Kasepuhan,-,Prop. Jawa Barat,1999-10-04 00:00:00.000
151,Jalan K. S. Tubun No. 68,Permukiman penduduk,Jl. Perujakan dan sungai Sukalila,Jl. KS. Tubun,Rumah penduduk,108.5605790,B178C738-84E9-42A0-B7DC-BFB507B7A71D,Kejaksan,Kota Cirebon,Kec. Kejaksan,KB000313,-6.7134980,Kompleks Gedung Pamitran,PM.58/PW.007/MKP/2010,Dinas Kesehatan Pemerintah Kota Cirebon,-,Prop. Jawa Barat,2010-06-22 00:00:00.000
152,-,Tanah garapan penduduk,Danau atau situs Cangkuang,Danau atau situs Cangkuang,Danau atau situs Cangkuang,107.9189590,AF3EA55A-2F84-4499-B892-FD3D4E7A2AB9,Cangkuang,Kab. Cianjur,Kec. Leles,KB000241,-7.1033570,Kompleks Kepurbakalaan Candi Cangkuang,139/M/1998,Negara,-,Prop. Jawa Barat,1998-06-16 00:00:00.000
153,Paledang No. 2,"Sungai Pakancilan, permukiman",Permukiman,Jl. Paledang,"Jl. Kapten Muslihat, pertokoan",106.7906000,DFF52111-5E5C-4D3A-8EB1-805D7187AC3B,Paledang,Kota Bogor,Kec. Kota Bogor Tengah,KB000277,-6.5958300,Lembaga Pemasyarakatan Bogor,PM.26/PW.007/MKP/2007,Departemen Hukum dan HAM,Departemen Hukum dan HAM,Prop. Jawa Barat,2007-03-26 00:00:00.000
154,Jalan Kesambi No.38,SMU Widya Utama,Rumah penduduk,Jl. Kesambi,Jl. Dr. Sutomo,108.5638890,51805A74-0D65-4AB5-B0A0-A3C00EC2AB8E,Kesambi,Kota Cirebon,Kec. Kesambi,KB000312,-6.7352780,Lembaga Pemasyarakatan Kelas I Cirebon,PM.58/PW.007/MKP/2010,Hak pakai Dept. Kehakiman,-,Prop. Jawa Barat,2010-06-22 00:00:00.000
155,-,Gang dan permukiman penduduk,Gang dan permukiman penduduk,Gang dan permukiman penduduk,Gang dan permukiman penduduk,108.5727780,83F3ED88-0778-48E2-B95D-BFFED53627EC,Drajat,Kota Cirebon,Kec. Kesambi,KB000322,-6.7350000,Makam Pangeran Sipat Lurung,PM.58/PW.007/MKP/2010,Keraton Kasepuhan,-,Prop. Jawa Barat,2010-06-22 00:00:00.000
156,"Pahlawan, Gang Raden Saleh","Jl. Raden Saleh, permukiman","Jl. Raden Saleh, permukiman",Permukiman,Permukiman,106.7975280,986ADEE8-0E15-4FA9-96E2-9CF1DF846AC7,Empang,Kota Bogor,Kec. Kota Bogor Selatan,KB000280,-6.6098550,Makam Raden Saleh,PM.26/PW.007/MKP/2007,Pemerintah Kota Bogor,"BP3 Serang, Pemerintah Kota Bogor",Prop. Jawa Barat,2007-03-26 00:00:00.000
157,Jenderal Sudirman No. 33,Permukiman,Pertokoan dan panti asuhan Bina Harapan,Jl. Jenderal Sudirman,Museum PETA,106.7967000,6375438D-89FE-41C7-B8C9-C8E32226CF27,Pabaton,Kota Bogor,Kec. Kota Bogor Tengah,KB000271,-6.5866700,Markas Kodim 0606 Bogor,PM.26/PW.007/MKP/2007,KODIM 0606 Bogor,KODIM 0606 Bogor,Prop. Jawa Barat,2007-03-26 00:00:00.000
158,Merdeka No. 6,Jl. Merdeka,"Masjid Al-Furqon, permukiman","Jl. Ciwaringin, pabrik es, permukiman","Jl. Ciwaringin II, permukiman",106.7883000,71E21C26-B8F4-456C-A790-888960C0F343,Ciwaringin,Kota Bogor,Kec. Kota Bogor Tengah,KB000272,-6.5872200,Markas Korem 061/Surya Kencana,PM.26/PW.007/MKP/2007,"TNI-AD, KOREM 061/Surya Kencana","TNI-AD, KOREM 061/Surya Kencana",Prop. Jawa Barat,2007-03-26 00:00:00.000
159,-,Permukiman,Jl. Kauman,Alun-alun,Jl. Tangsi,108.3069440,44CAEEDF-B532-4101-8E72-D5EACF966B34,Manonjaya,Kab. Tasikmalaya,Kec. Manonjaya,KB000251,-7.3511110,Masjid Agung Manonjaya,238/M/1999,Masyarakat,-,Prop. Jawa Barat,1999-10-04 00:00:00.000
160,Pekarungan,Rumah penduduk,Rumah penduduk,Jl. Pekarungan,Jl. Kelektoran,108.5769440,F280AC2F-60E6-479D-9ECB-9E11C2507843,Panjunan,Kota Cirebon,Kec. Lemahwungkuk,KB000304,-6.7177780,Masjid Merah Panjunan,PM.58/PW.007/MKP/2010,Keraton Kasepuhan,Keraton Kasepuhan,Prop. Jawa Barat,2010-06-22 00:00:00.000
161,Perujakan,Pertokoan dan rumah penduduk,Permukiman penduduk,Jl. Perujakan,Gang gudang air dan permukiman penduduk,108.5675000,CFE9138F-3B1B-4DDF-B7F5-480F335C50C3,Pekalangan,Kota Cirebon,Kec. Pekalipan,KB000295,-6.7213890,Menara Air Perujakan,PM.58/PW.007/MKP/2010,Pemerintah Kota Cirebon,Pemerintah Kota Cirebon,Prop. Jawa Barat,2010-06-22 00:00:00.000
162,Jenderal Sudirman No. 35,"PUSDIK-ZENI, permukiman",KODIM 061 Bogor,"Jl. Jenderal Sudirman, pertokoan, permukiman",PUSDIK-ZENI,106.7964000,A1C0F467-AEC0-4F1C-AD0A-742A396BF871,Pabaton,Kota Bogor,Kec. Tanah Sereal,KB000279,-6.5852800,Monumen dan Museum Peta,PM.26/PW.007/MKP/2007,Yayasan PETA,Yayasan PETA,Prop. Jawa Barat,2007-03-26 00:00:00.000
163,P. Diponegoro No. 57,Jl. Sentot Alibasa,Jl. Diponegoro,Gedung Dwiwarna,Jl. Surapati,107.6214960,E42FE6E0-E0D0-442F-8A12-36E3DBC9C654,Cihaurgeulis,Kota Bandung,Kec. Coblong,KB000254,-6.9007100,Museum Geologi,PM.04/PW.007/MKP/2010,Museum Geologi/ Departemen Energi dan Sumberdaya Mineral,Museum Geologi/ Departemen Energi dan Sumberdaya Mineral,Prop. Jawa Barat,2010-01-08 00:00:00.000
164,Ir. H. Juanda No. 9,Jl. Ir. H. Juanda,Jl. Ir. H. Juanda,Kebun Raya Bogor,"Kantor pos, Kebun Raya Bogor",106.7967000,BC10FA20-FA89-4761-A301-D8FD66B04DA6,Paledang,Kota Bogor,Kec. Kota Bogor Tengah,KB000278,-6.5033300,Museum Zoologi Bogor,PM.26/PW.007/MKP/2007,Pemerintah,Pemerintah,Prop. Jawa Barat,2007-03-26 00:00:00.000
165,Jl. Peneropongan Bintang,Jalan kolektor,Perumahan dan jalan kolektor,Perumahan dan jalan kolektor,Permukiman,107.6159030,FF40AB31-5D74-4E55-B9B5-9059AEC718EF,Lembang,Kab. Bandung Barat,Kec. Lembang,KB000291,-6.8245570,Observation Bosscha,KM.51/OT.007/MKP/2004,Negara,-,Prop. Jawa Barat,2004-08-10 00:00:00.000
166,-,Rumah milik Bpk Uwih,Jl. Sejarah dan perkebunan,Rumah milik Djiauw Giang May,Persawahan,107.2948570,8617A39D-22DB-49A1-926D-64CC3B7F87E8,Rengasdengklok,Kab. Karawang,Kec. Rengasdengklok,KB000246,-6.1604760,Padepokan bekas kediaman Bung Karno,133/M/1998,Negara,-,Prop. Jawa Barat,1998-06-16 00:00:00.000
167,Pramuka,Sungai Cipandu dan rumah penduduk,Perumahan BTN Ciremai Giri,Jl. Pramuka,Kebun dan rumah penduduk,108.5522220,E1E6739D-9BD4-4614-80EE-57E0E8C1FE6F,Kalijaga,Kota Cirebon,Kec. Harjamukti,KB000303,-6.7580560,Petilasan Kalijaga,PM.58/PW.007/MKP/2010,Keraton Kanoman,Keraton Kanoman,Prop. Jawa Barat,2010-06-22 00:00:00.000
168,-,Makam umum,Makam umum,Makam umum,Makam umum,108.5716670,BD84DC23-210E-4762-82E5-3D9893E35458,Drajat,Kota Cirebon,Kec. Kesambi,KB000300,-6.7361110,Petilasan Pangeran Drajad,PM.58/PW.007/MKP/2010,Keraton Kasepuhan,Keraton Kasepuhan,Prop. Jawa Barat,2010-06-22 00:00:00.000
169,Kartini No. 1,Gang Kabupaten dan rumah penduduk,Permukiman penduduk,Jl. Siliwangi,Jl. Kartini dan alun-alun,108.5658330,9F914821-5882-4E63-AF1D-09D07411BDB2,Kejaksan,Kota Cirebon,Kec. Kejaksan,KB000294,-6.7344440,Rumah Dinas Bupati Cirebon,PM.58/PW.007/MKP/2010,Pemerintah Kabupaten Cirebon,Pemerintah Kabupaten Cirebon,Prop. Jawa Barat,2010-06-22 00:00:00.000
170,Moch. Ali No. 64,Jl. Mohammad Ali,Jl. Mohammad Ali,Permukiman dan pertokoan,Permukiman penduduk,107.1430280,CD79DDA3-02FE-436C-8455-EABBF6D27B5E,Sayang,Kab. Cianjur,Kec. Cianjur,KB000323,-6.8225280,Rumah Dr. Toki Syamsudin,PM.58/PW.007/MKP/2010,dr. Toki Syamsudin,dr. Toki Syamsudin,Prop. Jawa Barat,2010-06-22 00:00:00.000
171,Jenderal Sudirman No. 7,Permukiman,"Kantor PLN, Gg. Baru",Jl. Jenderal Sudirman,Permukiman,106.7967220,C1CB61A3-2205-41F1-8765-A95DCEE87F5C,Pabaton,Kota Bogor,Kec. Kota Bogor Tengah,KB000289,-6.5904970,Rumah Panti Asuhan Bina Harapan,PM.26/PW.007/MKP/2007,Yayasan GPIB,Yayasan GPIB,Prop. Jawa Barat,2007-03-26 00:00:00.000
172,Jenderal Sudirman No. 8,Jl. Jenderal Sudirman,Apotek Salak,Permukiman,Permukiman,106.7975000,DF941977-EF6B-40D1-B77B-59596BE99C33,Sempur,Kota Bogor,Kec. Kota Bogor Tengah,KB000288,-6.5911100,Rumah Sakit Salak,PM.26/PW.007/MKP/2007,TNI-AD,TNI-AD,Prop. Jawa Barat,2007-03-26 00:00:00.000
173,Jalan Kesambi,Permukiman penduduk,Jl. Kampung Melati,Jl. Kesambi,Jl. Dr. Sudarsono,108.5600000,B0635356-7F12-476C-A991-E6D6BA740F37,Kesambi,Kota Cirebon,Kec. Kesambi,KB000314,-6.7402780,Rumah Sakit Umum Daerah Gunung Jati Cirebon,PM.58/PW.007/MKP/2010,Pemerintah Kota Cirebon,Pemerintah Kota Cirebon,Prop. Jawa Barat,2010-06-22 00:00:00.000
174,Letnan Sukarna,Rumah penduduk,Rumah penduduk,Jl. Letnan Sukarna,Rumah penduduk,106.6954720,6CF81ED4-3891-4306-A03A-12506060089D,Ciampea,Kab. Bogor,Kec. Ciampea,KB000327,-6.5416390,Rumah Tinggal Song Beng Tjoeij,PM.58/PW.007/MKP/2010,Song Tjoe Siet/ Song Beng Tjoeij,Soeng Giok Bun,Prop. Jawa Barat,2010-06-22 00:00:00.000
175,-,Kampung Cikupa,Sungai Cibulan,Kampung Ciakar,Kampung Indrayasa,108.3623920,6B097F23-505E-45A0-9180-C3EB15B8542A,Kawali,Kab. Ciamis,Kec. Kawali,KB000233,-7.1893360,Situs Astana Gede Kawali,139/M/1998,Negara,-,Prop. Jawa Barat,1998-06-16 00:00:00.000
176,-,Tegalan milik Suki,Tegalan milik Abeng dan Awang,Jalan desa,SD Inpres,106.6904690,B99E38CD-3941-44E0-9F62-4DB10C9FF0AB,Ciaruteun Ilir,Kab. Bogor,Kec. Cibungbulang,KB000231,-6.5270840,Situs Kawasan Prasasti Tapak Gajah (Kebon Kopi I),139/M/1998,Negara,-,Prop. Jawa Barat,1998-06-16 00:00:00.000
177,Sunan Kalijaga,Permukiman penduduk,Permukiman penduduk,Jl. Sunan Kalijaga,Permukiman penduduk,108.5880560,51DDCF36-489B-4EE9-ACC5-92F2D64C1035,Pegambiran,Kota Cirebon,Kec. Lemahwungkuk,KB000302,-6.7355560,Situs Kejawanan,PM.58/PW.007/MKP/2010,Keraton Kasepuhan,Keraton Kasepuhan,Prop. Jawa Barat,2010-06-22 00:00:00.000
178,-,"Kali Segaran, tanah milik Yayasan Sunyaragi, dan Jl. By Pass Cirebon","Jl. Sunyaragi, tanah Pemda, dan rumah penduduk",Jl. Sunyaragi,Kali Segaran dan sawah penduduk,108.5434470,B14F9193-BA59-45F4-94DA-51B997C6BEA1,Sunyaragi,Kota Cirebon,Kec. Kesambi,KB000229,-6.7363350,Situs Kepurbakalaan Gua Sunyaragi ,139/M/1998,Negara,-,Prop. Jawa Barat,1998-06-16 00:00:00.000
179,Petratean,Gang dan permukiman penduduk,Jl. Astana Garib,"Gang, toko dan permukiman penduduk",Permukiman penduduk,108.5752780,27511C53-FAFC-4583-9B89-29E2B563880E,Kanoman,Kota Cirebon,Kec. Pekalipan,KB000301,-6.7266670,Situs Makam Syekh Maghribi,PM.58/PW.007/MKP/2010,Keraton Kanoman,Keraton Kanoman,Prop. Jawa Barat,2010-06-22 00:00:00.000
180,-,"Kali Cianggulaan, Pasir Cipanggulaan, Kampung Cipanggulaan","Kali Cikuta, Kampung Empang, Pasir Cikuta, Kampung Cikuta",Kali Cikuta,Lahan Kosong,107.0564250,5FA638A1-B8EF-4AEF-A7BA-D9C80001BC7F,Karya Mukti,Kab. Cianjur,Kec. Campaka,KB000232,-6.9945960,Situs Megalitik Gunung Padang ,139/M/1998 (023/M/2014),Masyarakat dan Pemerintah Daerah Kabupaten Cianjur,BPCB Serang,Prop. Jawa Barat,2014-01-17 00:00:00.000
181,-,Permukiman penduduk,Permukiman penduduk,Gang dan ruang pertemuan warga,Gang dan ruang pertemuan warga,108.5688890,3A74FB9E-4399-472F-967D-1FBD2515A94F,Pekalangan,Kota Cirebon,Kec. Pekalipan,KB000321,-6.7180560,Situs Pedati Gede,PM.58/PW.007/MKP/2010,Keraton Kasepuhan,-,Prop. Jawa Barat,2010-06-22 00:00:00.000
182,Jl. Raya Batutulis,Jl. Raya Batutulis,Permukiman penduduk,Permukiman penduduk,Permukiman penduduk,106.8090400,2D222D9A-2068-4A1A-ABC1-0CA26E9D091E,Batutulis,Kota Bogor,Kec. Kota Bogor Selatan,KB000242,-6.6236950,Situs Prasasti Batutulis,KM.08/PW.007/MKP/2004,Negara,"BP3 Jawa Barat, DKI Jakarta, dan Lampung",Prop. Jawa Barat,2004-03-03 00:00:00.000
183,-,Tegalan milik Haji Sanai,Tanah milik Saimini,Tegalan milik Mamat,Tegalan milik Bandi,106.6923360,E1FE6325-F260-4CC0-8102-BA241B69839F,Ciaruteun Ilir,Kab. Bogor,Kec. Cibungbulang,KB000230,-6.5267220,Situs Prasasti Ciaruteun,139/M/1998,Negara,-,Prop. Jawa Barat,1998-06-16 00:00:00.000
184,Raya Batutulis,Jl. Raya Batutulis,Permukiman penduduk,Permukiman penduduk,Permukiman penduduk,106.8093620,9923D651-D33F-4176-B365-95E3273ACA9B,Batutulis,Kota Bogor,Kec. Kota Bogor Selatan,KB000243,-6.6248730,Situs Purwakalih,KM.08/PW.007/MKP/2004,Negara,"BP3 Jawa Barat, DKI Jakarta, dan Lampung",Prop. Jawa Barat,2004-03-03 00:00:00.000
185,Nyi Raja Permas No. 1,Permukiman,"Pertokoan, Jl. Kapten Muslihat","Jl. Nyi Raja Permas, pertokoan","Jl. M.A. Salmun, pertokoan, permukiman",106.7908000,8BAFBD65-A94E-4856-81C1-CAFE7DA63A04,Cibogor,Kota Bogor,Kec. Kota Bogor Tengah,KB000287,-6.5936100,Stasiun Kereta Api Bogor,PM.26/PW.007/MKP/2007,PT. KAI,PT. KAI,Prop. Jawa Barat,2007-03-26 00:00:00.000
186,Jalan Inspeksi ,Jl. Olah raga dan permukiman penduduk,Rel kereta api,Jl. Stasiun dan Jl. Inspeksi,Tempat parkir dan warung,108.5594440,4903F822-B3B2-4861-A464-1127E29D2E27,Kejaksan,Kota Cirebon,Kec. Kejaksan,KB000317,-6.7083330,Stasiun Kereta Api Kejaksan Cirebon,PM.58/PW.007/MKP/2010,Pemerintah,PT. KAI Daerah Operasi III Cirebon,Prop. Jawa Barat,2010-06-22 00:00:00.000
187,Jalan Nyi Mas Gandasara,Permukiman penduduk,Rel kereta api dan warung,Jl. Kembar dan Jl. Pekalangan,Rel kereta api,108.5644440,C6064B85-A9FC-4918-8ADC-B053330DB7DB,Pekalangan,Kota Cirebon,Kec. Pekalipan,KB000318,-6.7211110,Stasiun Kereta Api Perujakan,PM.58/PW.007/MKP/2010,Pemerintah,PT. KAI Daerah Operasi III Cirebon,Prop. Jawa Barat,2010-06-22 00:00:00.000
188,Kolonel Singawinata No. 1,Pertokoan/ rumah,Permukiman penduduk,Rel kereta/ lahan kosong,Permukiman penduduk,107.4461390,5FDBBD2F-2918-4B01-9C7A-48BA03AAB0CC,Nagrik Tengah,Kab. Purwakarta,Kec. Purwakarta,KB000328,-6.5530830,Stasiun Kereta Api Purwakarta,PM.58/PW.007/MKP/2010,PT. KA (Persero),PT. KA (Persero),Prop. Jawa Barat,2010-06-22 00:00:00.000
189,Surya Kencana No. 1,Jl. Surya Kencana,Robinson Departemen Store,Yogya Departemen Store,Jl. Oto Iskandar Dinata,106.7991540,E4E0F020-C41D-4FDE-B143-280C3586A3DE,Babakan Pasar,Kota Bogor,Kec. Kota Bogor Timur,KB000245,-6.6035010,Vihara Mahacetya Dhanagun,133/M/1998,-,-,Prop. Jawa Barat,1998-06-16 00:00:00.000
190,Pantai Teluk Penyu,Kilang Minyak,Laut Selatan,Laut Selatan,Kilang Minyak,109.0171260,C402B959-D64A-48C0-BF97-35D0B5811576,Pesanggrahan,Kab. Cilacap,Kec. Kesugihan,KB000404,-7.7492330,Benteng Pendem,PM.57/PW.007/MKP/2010,TNI AD,Dinas Kebudayaan dan Pariwisata Cilacap,Prop. Jawa Tengah,2010-06-22 00:00:00.000
191,"Kompleks SECATA, Infantri Angkatan Darat",Sungai Gombong,Sungai Caplek,Permukiman Penduduk,Permukiman Penduduk,109.5175270,81231578-4F92-4A68-B48C-ECECDDA4011A,Sedayu,Kab. Kebumen,Kec. Gombong,KB000390,-7.5993170,Benteng Van Der Wijck,PM.57/PW.007/MKP/2010,-,-,Prop. Jawa Tengah,2010-06-22 00:00:00.000
192,-,Jalan Jend. Sudirman,Jalan Alun-alur Lor,Jalan Kapt. Mulyadi,Jalan May. Kusmanto,110.8305800,0A717182-BE8C-47B9-9022-14879BEC002C,-,Kota Surakarta,Kec. Pasarkliwon,KB000406,-7.5717630,Benteng Vastenburg,PM.57/PW.007/MKP/2010,-,-,Prop. Jawa Tengah,2010-06-22 00:00:00.000
193,RT 3 RW IV,Persawahan,Persawahan,Persawahan,Persawahan,110.3516893,E0E9F583-E95B-40CF-B08C-5F225E46B029,Sengi,Kab. Magelang,Kec. Dukun,KB000357,-7.5274189,Candi Asu,PM.03/PW.007/MKP/2010,Pemerintah,BP3 Jawa Tengah,Prop. Jawa Tengah,2010-01-08 00:00:00.000
194,-,Desa Bumisegoro dan Sebrangrowa,Desa Ngarah II dan Desa Gopalan,Jln Dukuh Cawang Sari & Desa Ngarah I,Jln Dukuh Gendingan dan Dukuh Djaman,110.2037340,F61575BA-FD2C-46E2-BAFD-4B32C943D01D,Bumisegoro,Kab. Magelang,Kec. Borobudur,KB000341,-7.6079200,Candi Borobudur,173/M/1998,Negara,-,Jawa Tengah,1998-07-16 00:00:00.000
195,-,,,,,111.1538890,D8E2731B-005D-4FE8-8D1B-0D2475ECF22E,Gumeng,Kab. Karanganyar,Kec. Jenawi,KB000365,-7.5966670,Candi Cetho,PM.24/PW.007/MKP/2007,,,Prop. Jawa Tengah,
196,-,Dataran Tinggi Dieng,Tegalan,Jalan Raya Dieng,Dataran Tinggi Dieng,109.9101480,467F2D9C-6BA4-47A3-B167-C7E3A8993938,Dieng Kulon,Kab. Banjarnegara,Kec. Batur,KB000347,-7.2147080,Candi Dieng ,173/M/1998,Suaka Peninggalan Sejarah dan Purbakala Jawa Tengah,-,Prop. Jawa Tengah,1998-07-16 00:00:00.000
197,-,Ladang Penduduk,Ladang Penduduk,Ladang Penduduk,Ladang Penduduk,110.2968210,3F417CDA-4F20-4FE5-996E-DD8A3ACBDD0B,Kadiluwih,Kab. Magelang,Kec. Salam,KB000397,-7.6343010,Candi Gunung Wukir,PM.57/PW.007/MKP/2010,BP3 Jawa Tengah,BP3 Jawa Tengah,Prop. Jawa Tengah,2010-06-22 00:00:00.000
198,-,Lahan Pertanian,Lahan Pertanian,Lahan Pertanian,Lahan Pertanian,110.2833072,F1F5165B-2E11-4F3B-B3C4-DE5139665C56,Gulon,Kab. Magelang,Kec. Salam,KB000367,-7.6021720,Candi Gunungsari,PM.24/PW.007/MKP/2007,BP3 Jawa Tengah,-,Prop. Jawa Tengah,2007-03-26 00:00:00.000
199,-,Tanah Milik Sri Waskito,Kuburan,Tanah Tegalan,Tanah Milik Sri Waskito,110.5236110,00A86F6E-BFC0-40CE-8496-F8D9C63A6D73,Klero,Kab. Semarang,Kec. Tengaran,KB000369,-7.4125000,Candi Klero (Tengaran) ,PM.24/PW.007/MKP/2007,BP3 Jawa Tengah,BP3 Jawa Tengah,Prop. Jawa Tengah,2007-03-26 00:00:00.000
200,Candi,Sungai,Rumah Penduduk,Pekarangan,Sungai,110.0195560,7E8AE613-078A-4B04-B50F-55F78340E4A6,Paras,Kab. Boyolali,Kec. Cepogo,KB000379,-7.5233610,Candi Lawang,PM.57/PW.007/MKP/2010,BP3 Jawa Tengah,BP3 Jawa Tengah,Prop. Jawa Tengah,2010-06-22 00:00:00.000
201,-,Desa Mendut,Jalan Raya Mendut,Jalan Raya Mendut,Desa Mendut,110.2300358,7139ADE2-1EFA-4B6A-A731-7628FE790A38,Mendut,Kab. Magelang,Kec. Mungkid,KB000342,-7.6047774,Candi Mendut,173/M/1998,Suaka Peninggalan Sejarah dan Purbakala Jawa Tengah,-,Prop. Jawa Tengah,1998-07-16 00:00:00.000
202,Kanoman,Permukiman Penduduk,Permukiman Penduduk,Sungai Bagor,Permukiman Penduduk,110.5534390,BF612673-FCC3-4DF7-8BAE-B1FB22A05A13,Karangnongko,Kab. Klaten,Kec. Karangnongko,KB000366,-7.6697000,Candi Merak,PM.24/PW.007/MKP/2007,BP3 Jawa Tengah,BP3 Jawa Tengah,Prop. Jawa Tengah,2007-03-26 00:00:00.000
203,-,Dukuh Ngawen,Jalan Kampung,Jalan Kampung,Persawahan,110.2724684,B222353F-53A4-4E7F-B7A1-9D8AB1A72FCB,Ngawen,Kab. Magelang,Kec. Muntilan,KB000344,-7.6040809,Candi Ngawen ,173/M/1998,Suaka Peninggalan Sejarah dan Purbakala Jawa Tengah,-,Prop. Jawa Tengah,1998-07-16 00:00:00.000
204,-,Sawah Irigasi,Sungai Nglampok,Perkebunan,Sawah Irigasi,110.4390330,3324D2A3-E1DE-41C5-8D0C-AE3426CF3C19,Ngempon,Kab. Semarang,Kec. Bergas,KB000386,-7.1943260,Candi Ngempon/Candi Muncul,PM.57/PW.007/MKP/2010,BP3 Jawa Tengah,BP3 Jawa Tengah dan Dinas Budpar Semarang,Prop. Jawa Tengah,2010-06-22 00:00:00.000
205,-,Jalan Raya Brojonalan,Jalan Kampung Dukuh Brojonalan,Perumahan Penduduk Dukuh Brojonalan,Perumahan Penduduk Dukuh Brojonalan,110.2195580,A5CD68EB-7A4F-45B8-B777-73F9C7F995A2,Brajonalan,Kab. Magelang,Kec. Borobudur,KB000343,-7.6061550,Candi Pawon,173/M/1998,Suaka Peninggalan Sejarah dan Purbakala Jawa Tengah,-,Jawa Tengah,1998-07-16 00:00:00.000
206,-,Persawahan,Persawahan,Persawahan,Sungai Pabelan,110.3519253,102D725F-5B69-45AE-8735-32A4765A00E4,Sengi,Kab. Magelang,Kec. Dukun,KB000358,-7.5256665,Candi Pendem,PM.03/PW.007/MKP/2010,Pemerintah,BP3 Jawa Tengah,Prop. Jawa Tengah,2010-01-08 00:00:00.000
207,-,Jalan Dukuh Plaosan,Pemukiman Dukuh Plaosan,Persawahan,Persawahan,110.5045810,97EC6FF0-5419-4B0C-AB11-1678C9B906E1,Bugisan ,Kab. Klaten,Kec. Prambanan,KB000345,-7.7405360,Candi Plaosan ,173/M/1998,Suaka Peninggalan Sejarah dan Purbakala Jawa Tengah,-,Prop. Jawa Tengah,1998-07-16 00:00:00.000
208,-,Jalan Desa,Permukiman Penduduk,Sungai Pucang,Desa Candirejo,110.2458500,6C0AD609-1FEC-40E3-A2AE-C18110D328B9,Candiretno,Kab. Magelang,Kec. Secang,KB000368,-7.4337440,Candi Retno,PM.24/PW.007/MKP/2007,BP3 Jawa Tengah,-,Prop. Jawa Tengah,2007-03-26 00:00:00.000
209,-,Ladang Penduduk,Ladang Penduduk,Ladang Penduduk,Jalan Desa,110.5121630,03A68DA5-A69C-42FA-99CD-3543A0D57DB8,Gedangan,Kab. Boyolali,Kec. Cepogo,KB000393,-7.5276490,Candi Sari,PM.57/PW.007/MKP/2010,BP3 Jawa Tengah,BP3 Jawa Tengah,Prop. Jawa Tengah,2010-06-22 00:00:00.000
210,-,Tegalan,Tegalan,Tanah Pemda,Sungai,110.1676370,3A830142-CA6C-4EEA-9F0D-1EC1D2F4512A,-,Kab. Magelang,Kec. Windusari,KB000407,-7.4245890,Candi Selogriyo,PM.57/PW.007/MKP/2010,Pemda Magelang,BP3 Jawa Tengah,Prop. Jawa Tengah,2010-06-22 00:00:00.000
