,alamat_jalan,bangunan,bujur,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,koleksi,lintang,luas_tanah,museum_id,nama,pengelola,propinsi,sdm,standar,status_kepemilikan,sumber_dana,tahun_berdiri,tipe
303,"Jl. Sultan Agung No.12, Lapangan Banteng",Baru,103.6068650,-,Kota Jambi,Telanai Pura,MS000148,,-1.5962630,,749A2127-13DC-4D0B-A83B-FE5E392AC79D,Museum Perjuangan Rakyat Jambi,Dinas Kebudayaan dan Pariwisata Provinsi,Jambi,,B,,PEMERINTAH DAERAH,1997,Khusus
304,"Jl. Mp. Mangkunegara No. 1, Rt.01, Sukamaju Sako",Lama,104.7653870,-,Kota Palembang,Sako,MS000019,,-2.9441770,,CFDCA31F-68E5-44B5-8CB7-2B4FB6D49951,Museum Dr. A.K. Gani,Yayasan H.J.R.A Masturah A.K. Gani,Sumatera Selatan,,-,,YAYASAN H.J.R.A MASTURAH A.K. GANI,2006,Khusus
305,"Jl. Merdeka No. 1, Kelurahan 19 Hilir",Baru,104.7534720,-,Kota Palembang,Ilir Barat I,MS000003,368,-2.9910390,23565,8EE68A72-8BAE-44FB-93DC-0569D2694F65,Museum Monumen Perjuangan Rakyat Sumatera Bagian Selatan (Monpera Sumbagsel),Dinas Kebudayaan dan Pariwisata Kab/Kota,Sumatera Selatan,,C,,PEMERINTAH DAERAH,1988,Khusus
306,"Jl. Sriwijaya 1  Km. 5,5,  No. 288",Baru,104.7304520,-,Kota Palembang,Sukarami,MS000123,,-2.9508390,,65849FEA-5CD8-4B03-B0C5-D5EF91240A68,Museum Negeri PROVINSI Sumatera Selatan Balaputera Dewa,PEMERINTAH DAERAH,Sumatera Selatan,,A,,PEMERINTAH DAERAH,1984,Umum
307,"Jalan Syakhyakirti, Kelurahan Karanganyar",Baru,104.7292250,-,Kota Palembang,Gandus,MS000042,500,-3.0189580,600,71A0C544-8CA7-4304-97D0-53872280C252,Museum Sriwijaya (Taman Wisata dan Budaya Kerajaan Sriwijaya),Dinas Kebudayaan dan Pariwisata Provinsi,Sumatera Selatan,,B,,PEMERINTAH DAERAH,1994,Khusus
308,Jl. Subkoos  No.1-2,Lama,102.8634240,-,Kota Lubuk Linggau,Lubuk Linggau Barat Ii,MS000101,,-3.3012710,1700,3E5479CC-370E-4FDF-B3C6-B31C7A9427F9,Museum Subkoss Garuda Sriwijaya,Dinas Kebudayaan dan Pariwisata Kab/Kota,Sumatera Selatan,,-,,PEMERINTAH DAERAH,1988,Khusus
309,Jl. Sultan Mahmud Badaruddin II No. 2,Lama,104.7611340,19 Ilir,Kota Palembang,Ilir Barat I,MS000147,,-2.9903400,,A587305F-575B-4E46-8B26-FD2643937BE4,Museum Sultan Mahmud Badaruddin  II,Dinas Kebudayaan dan Pariwisata Kab/Kota,Sumatera Selatan,,C,,PEMERINTAH DAERAH,,Umum
310,"Semidang Aji, Baturaja",Baru,104.1703580,-,Kab. Ogan Komering Ulu,Semidang Aji,MS000031,,-4.1221480,7000,84C103A3-FC2D-4BC3-8A65-3DE4EC6CBAB7,UPTD Museum Sipahit Lidah,PEMERINTAH KABUPATEN,Sumatera Selatan,,-,,PEMERINTAH DAERAH,2013,Khusus
311,"Jl. Ahmad Yani, Desa Beglen",Baru,105.1074960,-,Kab. Pesawaran,Gedung Tataan,MS000076,,-5.3776660,6300,57C1E4BC-34C6-4ED1-A43A-8B6CD1FA904B,Museum Ketransmigrasian Lampung,Dinas Tenaga Kerja dan Transmigrasi Provinsi,Lampung,,B,,PEMERINTAH DAERAH,2004,khusus
312,Jl. Zaenal Abidin Pagar Alam  No. 64,Baru,105.2408770,Gedongmeneng,Kota Bandar Lampung,Rajabasa,MS000009,4747,-5.3722540,18895,0C72D756-FC27-4187-BFC0-193CE3CDA860,Museum Negeri PROVINSI Lampung “Ruwa Jurai,Dinas Kebudayaan dan Pariwisata Provinsi,Lampung,47,A,Pemerintah Kab/Kota,PEMERINTAH DAERAH,1988,Umum
313,"Jl. Sintang – Putussibau,  Km.14 Tanjungpuri",Baru,110.5133040,-,Kab. Sintang,Sintang,MS000427,0,.1544100,0,A65260A6-D131-493D-952F-685E44AAAD62,Museum Kapuas Raya ,Dinas Budpar Kabupaten Sintang,Prop. Kalimantan Barat,0,-,-,-,2004,Umum
314,Komplek Korem,-,111.5058000,-,Kab. Sintang,Sintang,MS000428,0,.0810830,0,4B6458FB-7290-4C01-BFB3-E03F407BEBB0,Museum Komando Operasi Sektor Timur (Mini Korem1205 ),-,Prop. Kalimantan Barat,0,-,-,-,0,-
315,Komp Kantor Bupati,-,109.9792360,-,Kab. Sampang,Matan Hilir Utara,MS000426,0,-1.8441960,0,3DF0858A-E4F3-4DD2-B5F4-2AD784C94FA0,Museum Matan,PEMDA,Prop. Kalimantan Barat,0,-,-,-,0,Umum
316,"Jalan Ahmad Sood Dusun Tumok, Desa Tumok Manggis",-,109.3031590,-,Kab. Sambas,Sambas,MS000429,0,1.3460630,0,BF60A4D4-720B-4D62-B0AC-3B71C76B97B6,Museum Negeri Perjuangan Sambas,-,Prop. Kalimantan Barat,0,-,-,-,0,Khusus
317,Jl. Jenderal A. Yani ,-,109.3427240,-,Kota Pontianak,Pontianak Selatan,MS000425,6256,-.0484600,0,6359A585-CDE5-4CE6-8D3C-52E7FA3E720D,Museum Negeri PROVINSI Kalimantan Barat,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA.",Prop. Kalimantan Barat,0,A,-,-,1983,Umum
318,"Jl. Cilik Riwut Km, 2,5",Baru,113.9017340,-,Kota Pontianak,Pontianak Selatan,MS000423,5002,-2.1946600,0,C0AA4E72-EF7E-462E-BC46-F3512E49FB25,Museum Negeri PROVINSI Kalimantan Tengah “Balanga“,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Kalimantan Barat,0,B,-,-,1990,Umum
319,Jl. S. Parman No. 1 ,-,112.9588180,-,Kab. Kotawaringin Timur,Mentawa Baru Ketapang,MS000424,0,-2.5386050,0,5E089DF1-46F7-4A93-8C74-2735450BC4A9,Museum Kayu Sampit,Khusus,Prop. Kalimantan Tengah,0,-,-,-,2004,-
320,"Jl. Jend. A. Yani  Km, 36,5",-,114.8475850,-,Kota Banjarbaru,Banjarbaru Utara,MS000421,12017,-3.4394910,0,2D1EFE1C-912B-462B-8F29-0ECA4E76081D,Museum Negeri Provinsi Kalimantan Selatan “Lambung Mangkurat“,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Kalimantan Selatan,0,B,-,-,1979,Umum
321,Jl. Sultan Adam Kompleks Haji Andir,Lama,114.6089920,-,Kota Banjarmasin,Banjarmasin Utara,MS000422,500,-3.3033960,0,FA3C95D5-609E-4D3F-979C-6F29E9C307FE,Museum Waja Sampai Kaputing “Perjuangan Rakyat Kalimantan Selatan”,PEMDA,Prop. Kalimantan Selatan,0,C,-,-,1991,Khusus
322,-,-,117.4886720,-,Kab. Berau,Gunung Tabur,MS000420,549,2.1602050,0,68737783-2A57-453A-9044-0FC2D30373B4,Museum Gunung Tabur,-,Prop. Kalimantan Timur,0,-,-,-,1992,-
323,Kawasan Waduk Panji Sukarame Jl. Anggana RT 25 No. 17,-,116.9713110,-,Kab. Kutai Kartanegara,Tenggarong,MS000418,0,-.4059990,0,D4F7E1B3-27CD-4A6A-8C6C-888B8257901E,Museum Kayu TUAH HIMBA,Dinas BUDPAR Kab. Kutai Kartanegara,Prop. Kalimantan Timur,0,C,-,-,1991,Khusus
324,Jl. Keraton Paser Belengkong,-,116.2103130,-,Kab. Paser,Pasir Belengkong,MS000417,0,-1.9486590,0,79375651-CD98-4241-880B-FF84844FF0A2,Museum Keraton Sadurengas Paser Belengkong Sadurengas,PEMDA,Prop. Kalimantan Timur,0,-,-,-,0,Umum
325,Jl Perkantoran 6 Sendawar,-,115.7914000,-,Kab. Kutai Barat,Long Iram,MS000419,0,-.2192430,0,94621B4D-F363-4FE4-9CC5-60355EB9A1CE,Museum Sendawar,Dinbudparpora/ PEMKAB,Prop. Kalimantan Timur,0,-,-,-,0,Umum
326,Jl. Diponegoro No. 26,Baru,116.9910560,-,Kab. Kutai Kartanegara,Tenggarong,MS000416,0,-.4125070,0,4E01990E-CE07-401B-9A16-C6EE1E01B2D2,UPTD Museum Negeri  Provinsi KALTIM “Mulawarman“,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Kalimantan Timur,0,A,-,-,1971,Umum
327,Jl. Sam Ratulangi 1,-,124.8450600,-,Kota Manado,Bunaken,MS000389,0,1.4929670,0,B358EB8D-36A9-43ED-BAAE-E01EC69113B3,Museum Minahasa Raad ,Belum diresmikan ,Prop. Sulawesi Utara,0,-,-,-,0,Khusus
328,Jl. Raya Tompaso Desa Tompaso,-,124.7946820,-,Kab. Minahasa,Tompaso Barat,MS000390,0,1.1904790,0,6F7AD8D1-9926-42F5-A444-92CFA61441BE,Museum Narkoba,Swasta/ Perorangan,Prop. Sulawesi Utara,0,-,-,-,0,Khusus
329,Jl. W.R. Supratman No. 72,-,124.8450940,-,Kab. Minahasa Tenggara,Ratahan,MS000387,0,1.4878110,0,29EA1BA6-B45D-4D62-83EB-53F65C3ABC8A,Museum Negeri PROVINSI Sulawesi Utara,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA, ",Prop. Sulawesi Utara,0,A,-,-,0,Umum
330,Jl. Bethesda No 78,-,124.8332230,-,Kota Manado,Sario,MS000388,0,1.4631780,0,A5316975-F7DD-493A-A9AC-8FDA2BBD502C,Museum Perjuangan (Kodam VII Wirabuana),PEMDA,Prop. Sulawesi Utara,0,-,-,-,0,Khusus
331,-,Lama,123.5012330,-,Kab. Banggai,Luwuk,MS000393,0,-1.5912870,0,EE127FE2-10C3-44A5-B55F-37F1B107CB27,Museum Daerah Kabupaten Banggai,Pemda,Prop. Sulawesi Tengah,0,-,-,-,2005,Umum
332,"Jl. Kemiri No. 23, Kel. Kamonji",-,119.8540000,-,Kota Palu,Palu Barat,MS000391,7398,-.9022040,0,406F2989-3202-4292-877A-B856DBCB312C,Museum Negeri PROVINSI Sulawesi Tengah ,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Sulawesi Tengah,0,A,-,-,0,Umum
333,"Jl. Tepi Laut, Kalili Barat",-,119.8400140,-,Kab. Donggala,Sirenja,MS000392,0,-.6902370,0,69E655DA-DBDB-404C-9FA2-BEDE8559A3FF,Museum Pugung Ulago,SWASTA,Prop. Sulawesi Tengah,0,-,-,-,0,Khusus
334,Jl. Sultan Hasanuddin No.44 Sangguminasa,Lama,119.4524600,-,Kab. Gowa,Somba Opu,MS000400,0,-5.2069180,0,F34F62EC-5B34-40D8-8905-CF863C19AFC0,Museum Balla Lompoa,SWASTA,Prop. Sulawesi Selatan,0,C,-,-,1973,Umum
335,"Jl. Andi Jemma No. 1, Kel. Batu Pasi",Lama,120.1947400,-,Kota Palopo,Wara Utara,MS000399,831,-2.9924390,0,D384B52D-82C8-405C-A01D-32E753199BF8,Museum Batara Guru Istana Datu Luwu ,DisParsenibud Jl. Balai Kota No.1,Prop. Sulawesi Selatan,0,-,-,-,1971,Umum
336,Jl. Buntu Kalando,Lama,119.8994120,-,Kab. Tana Toraja,Sangalla,MS000405,701,-3.0919610,0,AAF3AECD-94D7-447C-BD27-348FBEFE8232,Museum Buntu Kalando,Dinas Parsenibud Jl. Achmad Yani No. 62,Prop. Sulawesi Selatan,0,-,-,-,1980,Khusus
337,Komp Benteng Somba Opu Barombang,-,119.4041520,-,Kab. Gowa,Barombong,MS000412,0,-5.1910930,0,C877CE4B-78B4-462F-B5BB-B637D0E69892,Museum Karaeng Pattingallong,UPTD Pengelola Benteng Soba Opu Disbudpar,Prop. Sulawesi Selatan,0,C,-,-,0,-
338,Jl. Balai Kota No. 11 A,Lama,119.4086260,-,Kota Makassar,Ujung Pandang,MS000408,0,-5.1345970,0,C86650F1-43D2-467C-B5B7-E5C2C940B26C,Museum Kota Makassar,PEMDA,Prop. Sulawesi Selatan,0,C,-,-,2000,Khusus
339,Bantimurung,-,119.6812620,-,Kab. Maros,Bantimurung,MS000409,0,-5.0159980,0,604D2427-0DC4-43FF-B1ED-63BE24FBF820,Museum Kupu-kupu Maros,Dinas Budpar Kab Maros,Prop. Sulawesi Selatan,0,C,-,-,0,Khusus
340,Jl. Bau Massepe No. 66,-,119.6263130,-,Kota Pare-Pare,Bacukiki Barat,MS000411,0,-4.0395900,0,425A1106-EE17-4D19-A44C-02D405E4EF67,Museum La Bangenge,-,Prop. Sulawesi Selatan,0,-,-,-,0,-
341,"Jl. K. H. Thamrin  No. 9,  Watampone",Lama,120.3288590,-,Kab. Bone,Tanete Riattang,MS000401,331,-4.5377500,0,2EA54B02-0A58-4AC9-95A7-38992409C3CF,Museum La Pawawoi,Dinas Parsenibud Jl. A. Yani No. 3,Prop. Sulawesi Selatan,0,-,-,-,1971,Umum
342,Ds Tallunglipu,-,119.8768830,-,Kab. Toraja Utara,Tallunglipu,MS000406,0,-2.9768850,0,1B6A9C9E-B53D-4B5E-950C-489C6DC77B40,Museum Landa Rundun,SWASTA,Prop. Sulawesi Selatan,0,-,-,-,0,Khusus
343,Jl. Jend. Sudirman No. 2,Baru,119.4136360,-,Kota Makassar,Ujung Pandang,MS000404,0,-5.1376420,0,E31C5F42-4E6B-4ADD-BCDD-B71739B4F61E,Museum Monumen Mandala Pembebasan Irian Barat,Disbudpar Sulsel,Prop. Sulawesi Selatan,0,C,-,-,1995,Khusus
344,Komplek Benteng Ujung Pandang Jl. Ujung Pandang No 2,Lama,119.4057610,-,Kota Makassar,Ujung Pandang,MS000398,4999,-5.1342890,0,11CE76BF-9A75-4187-BDD4-935B3F0517A1,Museum Negeri Provinsi Sulawesi Selatan ”La Galigo”,"DEPDIKBUD  (smp. thn. 2002),MENBUDPAR  (smp. thn. 2005), Disbudpar Prop Sulsel",Prop. Sulawesi Selatan,0,A,-,-,1970,Umum
345,Jl. Jend. Sudirman No. 2,-,120.4713100,-,Kab. Kepulauan Selayar,Benteng,MS000402,0,-6.1107130,0,1D5C3323-D780-43CE-AB79-EC331A5D211A,Museum Nekara,PEMDA,Prop. Sulawesi Selatan,0,-,-,-,0,Umum
346,Jl. Jend. A. Yani No.  25,Lama,120.0531190,-,Kab. Wajo,Tempe,MS000403,0,-4.1463540,0,EDA4376E-8AA1-4C85-9F91-55439576B308,Museum Semettengpola Saoraja Mallangga,SWASTA,Prop. Sulawesi Selatan,0,-,-,-,1990,Khusus
347,Jl. A. Makkau  No. 50,-,119.6252260,-,Kota Pare-Pare,Soreang,MS000407,0,-4.0106890,0,8CB5C4EE-F905-4E91-8271-B4DC71059249,Museum We Tepulinge,SWASTA,Prop. Sulawesi Selatan,0,-,-,-,0,Khusus
348,Jl. Labuke,-,122.6014650,-,Kota Baubau,Betoambari,MS000396,0,-5.4737780,0,876FA9F9-3492-4B89-A946-64D79F215345,Museum Istana Buton,-,Prop. Sulawesi Tenggara,0,-,-,-,0,Khusus
349,"Jl. Abunawas,  No. 191, Kelurahan Bende",-,122.5117030,-,Kota Kendari,Baruga,MS000394,0,-3.9744540,0,7E885F4C-DCF4-4CD6-B6AA-1E07708A6E06,Museum Negeri PROVINSI Sulawesi Tenggara,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Sulawesi Tenggara,0,B,-,-,1991,Umum
350,Kabupaten Wakatobi,-,123.5389690,-,Kab. Wakatobi,Kaledupa,MS000397,0,-5.3498760,0,5EA01645-5DDD-46AA-841C-836A21C4BE6D,Museum Terapung Kabupaten Wakatobi,-,Prop. Sulawesi Tenggara,0,-,-,-,0,Umum
351,Lt IV Gdg. Pascasarjana Univ Halu Oleo,-,122.5219840,-,Kota Kendari,Kendari Barat,MS000395,0,-4.0076750,0,ED22BD7A-A3E5-488B-BC49-C3E9424CBCAF,Museum Wallacea Universitas Halu Oleo Kendari,"Universitas Haluoleo, Kendari",Prop. Sulawesi Tenggara,0,B,-,-,0,-
352,Jl. Bung Hatta,-,129.8920680,-,Kab. Maluku Tengah,Salahutu,MS000381,0,-4.5214480,0,1B8C63D0-3B86-49C4-B234-5EF308D3C0F5,Museum Bung Hatta,Pemkab,Prop. Maluku,0,-,-,-,0,Khusus
353,Jl. Taman Makmur,Lama dan Baru,128.1528120,-,Kota Ambon,Nusaniwe,MS000380,0,-3.7132400,0,9DCBD954-0452-4664-BD0A-1D53C4F0C7BB,Museum Negeri PROVINSI Maluku “Siwa Lima“,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Maluku,0,B,-,-,1977,Umum
354,Jl. Raya Pengelokan,-,115.3644660,-,Kab. Bangli,Kintamani,MS000346,0,-8.2838530,0,B16CC26B-D535-4CB5-BDBD-0186C8ED74B5, Museum Gunung Api Batur/Vulkanologi,Diresmikan 10 Mei 2010. Kementerian ESDM.,Prop. Bali,0,C,-,-,0,Khusus
355,Ds. Peliatan Jl. Bima,-,115.2637900,-,Kab. Gianyar,Ubud,MS000336,0,-8.5231080,0,E3F182BB-74B5-4B48-AE60-A7DDE0C83C26,Museum  ARMA,Yayasan ARMA,Prop. Bali,0,B,-,-,1996,Khusus
356,Jl. Hang Tuah,Baru,115.2636710,-,Kota Denpasar,Denpasar Selatan,MS000328,88,-8.6751480,0,1647D41F-954C-48EC-A03B-ED35B843558B,Museum  Le  Mayeur ,PEMDA,Prop. Bali,0,B,-,-,1985,Khusus
357,Jl. Untung Surapati No. 3,Lama,115.4026400,-,Kab. Klungkung,Klungkung,MS000327,0,-8.5355940,0,752FE48B-03DB-473F-8A19-0B941E3391B0,Museum  Semarajaya,Dinas BUDPAR Kab Klungkung,Prop. Bali,0,B,-,-,1992,Khusus
358,"Jl. Gatot Subroto, Ds. Banjar Anyar",-,115.1380760,-,Kab. Tabanan,Kediri,MS000330,0,-8.5453940,0,8A66ACA4-44A4-43A6-A59E-718CF3787262,Museum  Subak,Perda Pemprop Bali No. 02/PD/DPRD/1972 Disbudpar Kab. Tabanan.,Prop. Bali,0,B,-,-,0,Khusus
359,Jl. Nakula 33x Legian-Kuta,baru,115.1766780,-,Kab. Badung,Kuta,MS000358,0,-8.6995750,0,09657C2B-6ED8-4433-9CA9-D8EDA0677D72,Museum 3D DMZ,-,Prop. Bali,0,C,-,-,0,-
360,Jl. Pegangsaan Timur 56,-,115.2254060,-,Kota Denpasar,Denpasar Selatan,MS000355,0,-8.6730260,0,ACCFC7DD-3E98-481A-A4FA-1C2B89FFC6DF,Museum Agung Bung Karno ,Yayasan Kepustakaan Bung Karno,Prop. Bali,0,-,-,-,0,-
361,Jl. Mertanadi Kompleks Pertokoan Sunset Paradise no 169,-,115.1838180,-,Kab. Badung,Kuta,MS000356,0,-8.7091930,0,E9788798-EF41-4128-8B67-C356DF4C53F7,Museum Becak,-,Prop. Bali,0,C,-,-,0,-
362,J. Raya Campuhan Desa Sayan,-,115.2541540,-,Kab. Gianyar,Ubud,MS000344,70,-8.5056110,0,56294D6F-9296-4ABE-BC0E-95913FC969FF,Museum Blanco Renaissance,SWASTA/YAYASAN,Prop. Bali,0,C,-,-,0,Khusus
363,Jl. Veteran No. 23,-,115.0968080,-,Kab. Buleleng,Buleleng,MS000343,0,-8.1248040,0,F90CBA18-2137-4106-9CEB-993657146188,Museum Buleleng,PEMDA,Prop. Bali,0,-,-,-,0,Umum
364,Jl. Veteran No. 20,-,115.0963450,-,Kab. Buleleng,Buleleng,MS000337,3000,-8.1244240,0,25FD0158-4B02-40D6-860A-1DB0C5E30815,Museum Gedong Kirtya,PEMDA,Prop. Bali,0,-,-,-,0,Khusus
365,Jl. Raya Tampaksiring,-,115.2927600,-,Kab. Gianyar,Blahbatuh,MS000329,0,-8.5197930,0,5D9711AD-72A7-49A9-948F-7919A813D171,Museum Gedung Arca (Museum Arkeologi),BP3 Bali ,Prop. Bali,0,C,-,-,1974,Khusus
366,Desa Kemenuh,-,115.2876400,-,Kab. Gianyar,Sukawati,MS000350,0,-8.5581170,0,8852E75E-83F0-4F9E-9A4D-F87352098379,Museum Ida Bagus Marka,-,Prop. Bali,0,-,-,-,0,-
367,"Jl. Pantai Kuta, Alang Gallerie, Beach walk Shooping Center Lt. 3 ",-,115.1698110,-,Kab. Badung,Kuta,MS000353,0,-8.7165430,0,BDACAC95-DB1A-4C94-AADC-005C2B4C8335,Museum Kain,-,Prop. Bali,0,B,-,-,0,-
368,"Jl. Nusa Indah, ISI Denpasar",-,115.2327850,-,Kota Denpasar,Denpasar Timur,MS000348,0,-8.6539090,0,8B43A099-1E7C-4878-90D7-3B2014F12890,Museum Latta Mahosadhi ,dibuka pada 16 Juni 1997,Prop. Bali,0,C,-,-,0,-
369,Jl. Hayam Wuruk No. 175,-,115.2405610,-,Kota Denpasar,Denpasar Selatan,MS000338,0,-8.6632760,0,2ED97564-D3E6-4718-A71D-59758B160AEC,Museum Lukisan Sidik Jari,YAYASAN KERTI BUDAYA,Prop. Bali,0,C,-,-,0,Khusus
370,"Jalan Ayodya No. 7, Kel Gulingan",-,115.1705350,-,Kab. Badung,Mengwi,MS000351,0,-8.5437470,0,521B4683-D6F5-4605-BCC4-154251361C29,Museum Manusa Yadnya,Pemda berdiri sejak tahun 1974,Prop. Bali,0,C,-,-,0,-
371,"Jl. Raya Ubud, Bali (di dalam area Museum Puri Lukisan)",baru,115.2603030,-,Kab. Gianyar,Ubud,MS000341,0,-8.5052430,0,85C4F7C3-38AE-44A5-AE69-843BA0EE5C95,Museum Marketing 3.0,SWASTA,Prop. Bali,0,-,-,-,2011,Khusus
372,Desa Marga Dauh,-,115.1571780,-,Kab. Tabanan,Marga,MS000339,0,-8.4700880,0,C5248659-08B6-40C0-BB11-5D0A7EBB00D1,Museum Monumen Nasional Taman Pujaan Bangsa Margarana,YAYASAN Kebaktian Proklamasi,Prop. Bali,0,C,-,-,0,Khusus
373,Blok  P  Komp BTDC Nusa Dua,-,115.2305630,-,Kab. Badung,Kuta Selatan,MS000349,0,-8.7999100,0,883EB115-7FE7-47EE-9393-F345B231EC7D,Museum Pasifika,-,Prop. Bali,0,A,-,-,0,-
374,80571Bale Bali,-,115.2634960,-,Kab. Gianyar,Ubud,MS000340,0,-8.5193680,0,7D646D1C-C056-43B2-A089-64422176B917,Museum Pendet Gianyar,SWASTA,Prop. Bali,0,C,-,-,0,Khusus
375,Jl. Raya Ubud,-,115.2630860,-,Kab. Gianyar,Ubud,MS000335,0,-8.5072920,0,0D6C7C33-BB80-4ED5-9B2D-2C4F6F68A364,Museum Puri Lukisan Ratna Warna,YAYASAN,Prop. Bali,0,B,-,-,0,Khusus
376,"Jl. Cok Rai Pudak No. 44, Kel.Paliatan",-,115.2711350,-,Kab. Gianyar,Ubud,MS000332,398,-8.5297340,0,6C28467D-9586-40B3-BCA9-3AC9719D303E,Museum Rudana,SWASTA,Prop. Bali,0,A,-,-,1995,Khusus
377,"Jl Prebangsa, Gg Sunaren 9, Banjar Gede Batuan",-,115.2805250,-,Kab. Gianyar,Sukawati,MS000347,0,-8.5856850,0,E5F42151-72CF-4E39-A8A5-BD734EBB9E71,Museum Seni Batuan,-,Prop. Bali,0,C,-,-,0,Khusus
378,"Jl.  Raya  Banda   No. 1,  Takmung",-,115.3868810,-,Kab. Klungkung,Banjarangkan,MS000333,0,-8.5518590,0,24BC8D88-32DC-40B6-A4E3-922167231483,Museum Seni Lukis Klasik Bali “Nyoman Gunarsa”,YAYASAN,Prop. Bali,0,C,-,-,0,Khusus
379,Jl. Raya Sanggingan,-,115.2537580,-,Kab. Gianyar,Ubud,MS000331,1501,-8.4920610,0,D7A986FC-14C2-415B-BD78-CDF501287F48,Museum Seni Neka,Didirikan 7-7-1982 Yayasan Dharma Seni,Prop. Bali,0,B,-,-,1982,Khusus
380,Jl. Melaya,-,114.4406870,-,Kab. Jembrana,Melaya,MS000334,0,-8.1672650,0,AD290F8C-5DB3-42A4-B7C2-786D658112DB,Museum Situs Purbakala (Museum Alam Manusia Purba),PEMDA,Prop. Bali,0,-,-,-,0,Khusus
381,Jl. Tegal Bingin Banjar Tengkulak Tengah,-,115.2795320,-,Kab. Gianyar,Sukawati,MS000354,0,-8.5343380,0,FDD4CBFD-7C27-4AA1-A0F7-77E4704155F3,Museum Topeng dan Wayang Setia Darma ,-,Prop. Bali,0,A,-,-,0,-
382,Jl. Sunset Road No.789 Seminyak,-,115.1717470,-,Kab. Badung,Kuta,MS000357,0,-8.6877640,0,14E807F3-C1C1-40EE-B7C6-345A033CBEF6,Museum Trick Art 3D,-,Prop. Bali,0,C,-,-,0,-
383,"Jl. Mayor Wisnu, Kelurahan Br. Abasan",-,115.2430410,-,Kota Denpasar,Denpasar Timur,MS000326,0,-8.6424990,0,5E9BE50E-D3D1-42D4-B66B-8C942B4AF43D,Museum UPTD Bali,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Bali,0,B,-,-,0,Umum
384,Jl. Trenggana No. 108 Penatih,-,115.2322810,-,Kota Denpasar,Denpasar Timur,MS000352,0,-8.7995510,0,89F575F2-96D1-44DE-91A6-5B7506BDBC21,Putrawan Museum of Tribal Art (PUMA),Swasta,Prop. Bali,0,A,-,-,2004,Khusus
385,"Banjar Abiansemal, Lodtunduh",-,114.9639410,-,Kab. Gianyar,Ubud,MS000342,0,-8.2075500,0,C96566D0-6E86-452F-A7E0-190A0945F06A,Runa  House  of  Design  & Museum ,SWASTA,Prop. Bali,0,B,-,-,0,Khusus
386,-,-,115.3077090,-,Kab. Gianyar,Tampak siring,MS000359,0,-8.4517550,0,641963DE-F476-455B-8FCC-7282B0C5EA2F,Soekarno Centre,-,Prop. Bali,0,-,-,-,0,-
387,Jl. Raya Puputan Niti Mandala,-,115.2338880,-,Kota Denpasar,Denpasar Timur,MS000345,0,-8.6717690,0,12EF3904-3D04-462A-B2E1-021B89343D31,UPT. Monumen Perjuangan Rakyat Bali ,PEMKOT,Prop. Bali,0,B,-,-,2003,Khusus
388,"Jl. Sultan Ibrahim  No. 2, Kel. Paruga",Lama,118.7274810,-,Kota Bima,RasanaE Barat,MS000362,0,-8.4538960,0,8165CEA6-6DC8-42FF-BD7B-7C41FEB17F56,Museum Asi Mbojo ,PEMDA,Prop. Nusa Tenggara Barat,0,C,-,-,0,Umum
389,"Jalan Dalam Loka, Kelurahan Seketeng",-,117.3632130,-,Kab. Sumbawa,Sumbawa,MS000363,0,-8.6542120,0,B2E49C01-8EF5-42B8-B8DC-AB8AEB700AFE,Museum Dalam Loka Sumbawa /Museum Samawa (Istana Tua),PEMDA,Prop. Nusa Tenggara Barat,0,-,-,-,0,Umum
390,Jl. Panji Tilar Negara No. 6,-,116.0857580,-,Kota Mataram,Ampenan,MS000360,7387,-8.5849040,0,B28311D9-1757-4661-AE73-D50FE63355E5,Museum Negeri Propinsi NTB,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Nusa Tenggara Barat,0,B,-,-,1982,Umum
391,Jl. Gajah Mada No. 2 ,-,118.7438240,-,Kota Bima,Mpunda,MS000361,0,-8.4583100,0,6C1EE114-6907-42A0-99CA-1EC4A300FFF8,Museum Samparaja,"Yayasan Museum Kebudayaan ""Samparaja"" Bima",Prop. Nusa Tenggara Barat,0,B,-,-,1995,-
