,alamat_jalan,bangunan,bujur,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,koleksi,lintang,luas_tanah,museum_id,nama,pengelola,propinsi,sdm,standar,status_kepemilikan,sumber_dana,tahun_berdiri,tipe
158,Jl. Dr. Sutomo No. 13 A ,-,110.3771450,-,Kota Yogyakarta,Danurejan,MS000254,0,-7.7959110,0,0FFE37F9-8D3C-4A34-AAD5-233BFD6B33FD,Museum Batik dan Sulaman Yogyakarta,SWASTA,Prop. D.I. Yogyakarta,0,A,-,-,0,Khusus
159,Jl. Jenderal Ahmad Yani  No. 6,Lama,110.3662210,-,Kota Yogyakarta,Gondomanan,MS000242,0,-7.8005700,0,6EE9D218-1999-4695-A24B-380ED167622D,Museum Benteng Vrederburg Yogyakarta ,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. D.I. Yogyakarta,0,A,-,-,1992,Khusus
160,Jl. Sultan Agung  No. 22,-,110.3743930,-,Kota Yogyakarta,Mergangsan,MS000241,0,-7.8019690,0,5EDDC0A7-F68B-49BF-BC20-E13B7BB3BA49,Museum Biologi UGM ,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. D.I. Yogyakarta,0,C,-,-,0,Khusus
161,Jl. Jogja-Solo Km. 16,Baru,110.4934180,-,Kab. Sleman,Prambanan,MS000278,0,-7.7494710,0,FFF2B52F-0C88-4DA8-A2EB-20BF1A70F4C1,Museum Candi Prambanan,Taman Wisata Candi Prambanan,Prop. D.I. Yogyakarta,0,B,-,-,0,Khusus
162,Jl. Trikora No. 6,-,110.3647280,-,Kota Yogyakarta,Gondomanan,MS000239,0,-7.8019660,0,370C408F-4CB1-4D15-88AB-9219BC73E1FA,Museum Condrokiranan,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. D.I. Yogyakarta,0,-,-,-,0,Khusus
163,Jl. Tamansiswa No. 31,-,110.3780490,-,Kota Yogyakarta,Pakualaman,MS000250,3000,-7.8055080,0,971116C5-2588-4BD3-89D6-E36CFCEB4F11,Museum Dewantara Kirti Griya,SWASTA,Prop. D.I. Yogyakarta,0,B,-,-,1970,Khusus
164,-,-,110.4243690,-,Kab. Sleman,Pakem,MS000277,0,-7.6156440,0,6846CF8A-3E38-4349-A28C-FE5A80067F4C,Museum Erupsi Gunung Merapi,-,Prop. D.I. Yogyakarta,0,-,-,-,0,-
165,KRKB Gembira Loka Jl. Kebun Raya  No. 2,-,110.3941440,-,Kota Yogyakarta,Kotagede,MS000247,0,-7.8081640,0,3C7C2F42-50ED-416C-B61B-27055F1C442B,Museum Gembira Loka,PEMDA,Prop. D.I. Yogyakarta,0,-,-,-,0,Khusus
166,"Kampus II UPN Veteran, Jl. Babarsari 2",-,110.4145810,-,Kab. Sleman,Depok,MS000244,1252,-7.7818050,0,49FFCFFE-C69B-49B5-8682-E2488E49AA51,Museum Geoteknologi Mineral UPN “Veteran”,UPN Veteran ,Prop. D.I. Yogyakarta,0,B,-,-,1988,Khusus
167,Pantai Parangtritis dan Parang Kusumo,-,110.3019980,-,Kab. Bantul,Kretek,MS000272,0,-8.0091340,0,2015790B-0F0A-41AD-BB16-3DB958C9B0E6,Museum Gumuk Pasir,Fakultas Geografi,Prop. D.I. Yogyakarta,0,-,-,-,0,-
168,"Jl. Boyong, Dsn Benteng, Ds Hargobinangun",-,110.4241640,-,Kab. Sleman,Pakem,MS000269,0,-7.6164330,0,FC14EE98-6798-4FB0-B00C-85453656333B,Museum Gunung api Merapi ,-,Prop. D.I. Yogyakarta,0,B,-,-,0,-
169,"Kompleks Keraton Yogyakarta, Jl. Rotowijayan 1",Lama,110.3637430,-,Kota Yogyakarta,Kraton,MS000264,0,-7.8055830,0,B954FE26-6B4F-4DD3-BAF1-81B62FF4C12B,Museum Hamengkubuwono  IX,Pemerintah Provinsi Yogyakarta,Prop. D.I. Yogyakarta,0,C,-,-,1990,Umum
170,"Jl. Maloboro, Kompleks Gedung Agung ",-,110.3662070,-,Kota Yogyakarta,Gondomanan,MS000275,0,-7.7923730,0,444125A5-150C-4A7F-A9DF-BC383A944791,Museum Istana Kepresidenan Yogyakarta,-,Prop. D.I. Yogyakarta,0,-,-,-,0,-
171,Ds. Bunder,-,110.5479510,-,Kab. Gunung Kidul,Playen,MS000258,0,-7.8921140,0,870784CC-3F46-4A8D-A6D9-BC2F573ED4A9,Museum Kayu Wanagama,Fakultas Kehutanan UGM ,Prop. D.I. Yogyakarta,0,-,-,-,0,Khusus
172,"Jl. Rotowijayan  No. 1, / Komp Keraton Ngayogyokarto Hadiningrat",-,110.3641700,-,Kota Yogyakarta,Kraton,MS000249,0,-7.8055390,0,1E071820-A381-427B-94A2-68B8CA10E2DF,Museum Keraton Yogyakarta,SWASTA,Prop. D.I. Yogyakarta,0,B,-,-,0,Khusus
173,Jl. Kestalan Natawijayan,-,110.3625960,-,Kota Yogyakarta,Kraton,MS000265,0,-7.8056750,0,720737AC-DD70-4EBB-8D6E-EFF84E65771B,Museum Kereta Kencana,Pemerintah Provinsi Yogyakarta,Prop. D.I. Yogyakarta,0,C,-,-,0,Khusus
174,Jl. Laksda Adisucipto No. 167,-,110.3962330,-,Kab. Sleman,Sleman,MS000251,300,-7.7829360,0,A397F544-0DD9-4993-8836-1B27B1D02422,Museum Lukis Affandi ,SWASTA,Prop. D.I. Yogyakarta,0,B,-,-,1988,Khusus
175,Kompleks Keraton Yogyakarta,-,110.3643480,-,Kota Yogyakarta,Kraton,MS000266,0,-7.8057900,0,3B61EEC8-C4C8-447D-9221-04FC5307EC18,Museum Lukisan,-,Prop. D.I. Yogyakarta,0,-,-,-,0,-
176,"Kesumuk, Argomulyo",-,110.2802940,-,Kab. Bantul,Sedayu,MS000268,0,-7.7914380,0,F3C63C6B-2F99-4CE7-8319-CD7DFEDE9288,Museum Memorial Jenderal Besar Soeharto,-,Prop. D.I. Yogyakarta,0,-,-,-,0,-
177,"Sasana Wiratama, Tegal Redjo Jl. Hos. Cokro Aminoto TR III  No. 430",-,110.3512540,-,Kota Yogyakarta,Tegalrejo,MS000255,100,-7.7871330,0,EB010E4E-F777-47C4-88B1-DC0C5B35F5DA,Museum Monumen Pangeran Diponegoro,Museum Pemerintah ABRI,Prop. D.I. Yogyakarta,0,C,-,-,0,Khusus
178,Jl. Laksda Adisucipto No. 88,Baru,110.4091010,-,Kota Yogyakarta,Gondokusuman,MS000260,0,-7.7840320,0,E6982297-C1AB-44C3-8029-BA4F013337AA,Museum Monumen Pergerakan Wanita Indonesia (Kowani),Swasta,Prop. D.I. Yogyakarta,0,B,-,-,1983,Khusus
179,"Jl. Jongkang, Kel.Sarihardjo",-,110.3695740,-,Kab. Sleman,Ngaglik,MS000253,0,-7.7497680,0,9FD983B3-3193-4E76-9C61-26650DC62807,Museum Monumen Yogya Kembali ,SWASTA,Prop. D.I. Yogyakarta,0,B,-,-,1989,Khusus
180,Komplek Batalyon 403,-,110.3879110,-,Kab. Sleman,Depok,MS000248,0,-7.7550310,0,D57029B8-8CDF-4439-A60D-91919472ABB6,Museum Pahlawan Pancasila ,ABRI,Prop. D.I. Yogyakarta,0,-,-,-,0,Khusus
